city,time,title,km,排量,变速箱,origin_price,price,rule,过户次数,kg,气缸数,最大马力,oil_num
广州,2014,铃木,3.7,1.5,自动,8.12,4.2,国5,0,1075,4缸,103,92
常州,2013,日产,4.45,1.6,自动,13.82,6.58,国4,1,1211,4缸,126,92
嘉兴,2012,福特,9,1.6,自动,14.21,4.5,国5,2,1338,4缸,125,92
德州,2017,日产,3.1,2,自动,21.36,14.88,国5,0,1470,4缸,150,92
宁波,2014,丰田,6.29,1.6,自动,12.79,7.71,国5,1,1285,4缸,122,92
保定,2017,本田XR1550V,4.14,1.5,自动,14.96,10.99,国5,0,1550,4缸,131,92
青岛,2019,三菱,0.32,2,自动,18.76,14.9,国6,0,1525,4缸,166,92
哈尔,2016,大众POLO,5.73,1.4,自动,9.54,5.98,国5,1,1110,4缸,90,92
哈尔,2018,大众,3.05,1.5,自动,13,7.89,国5,0,1265,4缸,110,92
太原,2015,起亚K2,7.24,1.4,自动,9.32,4.7,国4,0,1083,4缸,107,92
重庆,2019,哈弗M6,1.16,1.5,自动,8.47,7.28,国6,0,1592,4缸,150,92
洛阳,2009,现代i30,8.22,1.6,自动,11.92,3.6,国4,0,1241,4缸,123,92
济南,2016,哈弗H6,3.81,1.5,自动,12.92,7.88,国5,0,1550,4缸,150,92
西安,2016,本田,6.12,1.5,自动,9.31,7.5,国5,1,1078,4缸,131,92
廊坊,2013,现代,10.12,2.4,自动,27.12,10.3,国4,1,1670,4缸,189,92
上海,2015,奥迪Q5,10.76,2,自动,46.85,20.99,国5,1,1900,4缸,224,95
惠州,2018,宝沃汽车,5.05,2,自动,32.87,14.68,国5,1,1779,4缸,245,95
中山,2013,大众,13.33,1.6,手动,12.25,4.38,国4,0,1245,4缸,105,92
包头,2016,长安CS15,3.58,1.5,自动,7.48,4.8,国5,0,1235,4缸,107,92
潍坊,2016,日产,5.37,2,自动,18.21,10.8,国5,1,1427,4缸,150,92
长沙,2012,起亚K5,8.3,2,自动,19.41,6.98,国4,0,1480,4缸,162,92
无锡,2014,林肯MKZ,7.93,2,自动,37.97,15.6,国5,1,1742,4缸,203,92
苏州,2018,宝马3系,4.71,2,自动,34.39,23.99,国5,2,1550,4缸,184,95
郑州,2016,雷克萨斯RX,0.75,2,自动,50.37,46.8,国6,0,2040,4缸,231,95
济南,2016,奔驰GLA级,6.28,2,自动,34.71,18.9,国5,3,1567,4缸,184,95
郑州,2018,宝马6系GT,1.97,2,自动,70.54,52,国5,0,1875,4缸,258,95
吉林,2016,大众POLO,2.86,1.4,自动,9.54,6.68,国4,2,1110,4缸,90,92
洛阳,2019,斯柯达,0.01,1.2,自动,15.35,11.28,国6,0,1295,4缸,116,95
广州,2013,福特,13.36,2,自动,22.01,11,国5,1,1659,4缸,203,92
宁波,2015,大众,9.25,1.5,自动,9.74,2.58,国4,1,1150,4缸,109,92
合肥,2018,五菱宏光,5.53,1.5,手动,5.41,3.98,国5,1,1550,4缸,105,92
重庆,2019,雪佛兰,0.84,1,自动,11.93,7.06,国6,1,1245,3缸,125,92
惠州,2017,丰田,3.95,1.8,自动,15.39,11.68,国5,0,1405,4缸,99,92
苏州,2017,凯迪拉克ATS1550L,5.73,2,自动,29.72,17.9,国5,2,1600,4缸,279,95
成都,2010,雪佛兰,8.24,1.4,自动,9.76,1.85,国三,0,1145,4缸,93,92
郑州,2014,宝马5系,19.42,2,自动,54.23,24.5,国5,1,1760,4缸,218,95
北京,2014,别克GL8,14.3,2.4,自动,22.69,8.9,国5,1,1840,4缸,167,92
张家,2015,传祺GS5,5.45,2,自动,16.15,6.2,国5,0,1550,4缸,147,92
济南,2016,捷豹XJ,5.62,2,自动,86.62,38.5,国5,1,1880,4缸,240,95
大连,2017,本田UR1550V,0.33,2,自动,31.78,27.28,国5,0,1863,4缸,272,92
大连,2013,奥迪Q5,10.96,2,自动,52.31,18.98,国4,5,1550,4缸,211,95
太原,2011,雪佛兰,8.66,1.4,手动,8.88,3.2,国4,0,1190,4缸,103,92
太原,2011,奔驰A级,7.57,1.5,自动,25.83,6.66,国4,1,1275,4缸,95,95
佛山,2017,本田XR1550V,2.17,1.8,自动,16.26,12.98,国5,0,1295,4缸,136,92
广州,2011,日产,11.74,2,自动,21.69,7.98,国4,0,1457,4缸,136,92
青岛,2015,大众,6.42,1.5,自动,29.2,16.8,国5,1,1305,3缸,136,95
西安,2014,日产,4.49,2,自动,21.36,14.58,国5,2,1460,4缸,150,92
重庆,2017,丰田,1.93,1.5,自动,9.53,6.2,国5,1,1090,4缸,107,92
临汾,2019,大众,1.07,1.5,手动,9.43,5.5,国6,0,1120,4缸,112,92
